15.38214245921093_100.1514744844401_180_2016-10_15_Road;Samoyed, Samoyede;0.291108;Arctic fox, white fox, Alopex lagopus;0.130541;Pomeranian;0.0784856;white wolf, Arctic wolf, Canis lupus tundrarum;0.0408822;ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus;0.031791
15.37697817454127_100.1619852477367_120_2013-09_14_Road;ladle;0.0184027;black grouse;0.0156889;space shuttle;0.0142759;thimble;0.0127718;quill, quill pen;0.0112844
15.37831049920183_100.1672257386117_180_2013-09_9_Road;seashore, coast, seacoast, sea-coast;0.102233;sandbar, sand bar;0.064619;mountain bike, all-terrain bike, off-roader;0.021629;promontory, headland, head, foreland;0.0208077;valley, vale;0.0206096
15.37775569822261_100.1625135245274_240_2013-09_9_Road;dam, dike, dyke;0.0801205;valley, vale;0.0644989;mountain bike, all-terrain bike, off-roader;0.0421871;alp;0.0420075;jeep, landrover;0.0354979
15.37730217677138_100.162205385605_120_2013-09_10_Road;seashore, coast, seacoast, sea-coast;0.22489;baseball;0.0408897;dingo, warrigal, warragal, Canis dingo;0.0373431;sandbar, sand bar;0.0303391;African crocodile, Nile crocodile, Crocodylus niloticus;0.0214596
15.38791147282855_100.1495172476174_0_2016-10_9_Road;missile;0.0281675;go-kart;0.0210294;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0197886;aircraft carrier, carrier, flattop, attack aircraft carrier;0.0185031;unicycle, monocycle;0.0172184
15.38435896839772_100.1504391517015_120_2013-07_9_Road;go-kart;0.0259269;limousine, limo;0.0245757;missile;0.0198794;seashore, coast, seacoast, sea-coast;0.0155603;racer, race car, racing car;0.0131289
15.37869984758432_100.164164002316_300_2013-09_13_Road;gown;0.0349332;dam, dike, dyke;0.0254466;geyser;0.015178;African chameleon, Chamaeleo chamaeleon;0.0141865;banded gecko;0.0139009
15.37853437002543_100.1654552708796_120_2013-09_10_Road;overskirt;0.16847;hoopskirt, crinoline;0.138503;gown;0.0902179;cloak;0.0473274;velvet;0.0188683
15.37776163256824_100.1526959133353_240_2013-07_16_Road;balance beam, beam;0.0574477;worm fence, snake fence, snake-rail fence, Virginia fence;0.0457308;tub, vat;0.0340352;gar, garfish, garpike, billfish, Lepisosteus osseus;0.0139089;crate;0.0130024
